,symbol
0,DFIN
1,AEG
2,CSPI
3,SNX
4,CASS
5,CATY
6,ACCD
7,AFYA
8,CBNK
9,MAS
10,MODV
11,SE
12,ATMP
13,AUY
14,CNK
15,CI
16,CLAS
17,WDS
18,DSEY
19,WOOF
20,SCZ
21,CVCY
22,DVAX
23,LBRDK
24,POND
25,FMNB
26,MNDT
27,III
28,IIIIU
29,ATRA
30,AXAC
31,CFIV
32,EPC
33,EWT
34,CRI
35,AXGN
36,CIO
37,CMCO
38,IIVI
39,EXPGY
40,ECVT
41,ENSG
42,EFA
43,SOHU
44,SOI
45,UAA
46,ABR
47,AIKI
48,EWW
49,DESP
50,FORG
51,CMCSA
52,FOSL
53,NVRO
54,AZZ
55,BACA
56,UA
57,CRZN
58,ILCB
59,ILCV
60,HBM
61,EGP
62,MDY
63,XTN
64,INMB
65,BLX
66,BNDX
67,COWN
68,INDT
69,FHLC
70,CPF
71,DTE
72,CPSS
73,PAQCU
74,PAWZ
75,MLNK
76,CSV
77,WSBC
78,CRF
79,WSBF
80,CSBR
81,CSLM
82,MITK
83,ECH
84,ENR
85,EDIT
86,WSC
87,CHGCY
88,WSFS
89,PRIM
90,PONO
91,MANU
92,POLY
93,CHE
94,PODD
95,FGB
96,FGBI
97,ADT
98,MAG
99,GAIN
100,IQV
101,GAMC
102,LYTS
103,BSCP
104,SPIP
105,ABC
106,GBLI
107,HOMB
108,CNTA
109,MIDD
110,SCSC
111,DBOEY
112,CLLS
113,GBNY
114,IRRX.U
115,ITB
116,GCC
117,GCLN
118,COOK
119,REVG
120,GMED
121,MGTX
122,MGV
123,SQSP
124,ITCI
125,ITGR
126,MYOV
127,FNV
128,MCHP
129,FFBC
130,MERC
131,AERI
132,DOL
133,EXPI
134,FLAC
135,FLYW
136,IYF
137,FNB
138,ROAM
139,FOLD
140,FOXA
141,FOXF
142,FROG
143,GILT
144,GO
145,BWMN
146,GTES
147,IWR
148,IWS
149,GIS
150,GOGL
151,TTAI
152,FSFG
153,FSTX
154,FSV
155,JD
156,JEPI
157,MORT
158,GOLD
159,EWZS
160,FEI
161,AXR
162,GOLF
163,JATT
164,TTAC
165,AGGR
166,FSRX
167,JEF
168,MCFT
169,FYX
170,NLSN
171,CIM
172,CLSC
173,HST
174,GLO
175,GNE
176,GNL
177,KE
178,IHYF
179,IIII
180,IMCB
181,IMCR
182,IMCV
183,IMFL
184,PEBO
185,BNS
186,BBCA
187,GSY
188,FSK
189,GT
190,MBNE
191,BY
192,PFF
193,PFFD
194,PFIN
195,IMMR
196,GOGN
197,GOOS
198,GPI
199,PFTA
200,GPK
201,SHLX
202,SSO
203,GPMT
204,GPOR
205,INVH
206,GFLU
207,JHMD
208,PNM
209,MAT
210,FSNB
211,GPRE
212,DLCA
213,GRCL
214,GRFS
215,GRIN
216,GRN
217,SANG
218,GRP.U
219,GRPN
220,CCEP
221,MAPS
222,STGW
223,CSTR
224,KBWY
225,GHM
226,CSWC
227,CSWI
228,PNT
229,GRVY
230,DEI
231,STIM
232,FDS
233,STM
234,GHG
235,GLBE
236,INOD
237,TT
238,PCB
239,ZETA
240,ZEUS
241,ZEV
242,POR
243,GSBD
244,STON
245,STOR
246,STRS
247,STRT
248,GSEV
249,GSG
250,GSHD
251,EGGF
252,INSP
253,INST
254,INSW
255,GTPB
256,SAVE
257,CHCO
258,TSP
259,PRGS
260,PRI
261,GWW
262,FTXO
263,SUAC
264,SUI
265,GXII
266,GXO
267,SUMO
268,HASI
269,IPVF
270,KRUS
271,KURA
272,LGV
273,MOO
274,PFBC
275,GLRE
276,GLT
277,GPAC
278,CTBI
279,ABGI
280,PNW
281,HBAN
282,AVT
283,ARCE
284,CION
285,GSM
286,SNSR
287,GGAL
288,HCSG
289,HCVI
290,HESM
291,GDXJ
292,TRYIY
293,ANZUU
294,CENQ
295,CLOU
296,HFXI
297,NAVI
298,PNTM
299,LYEL
300,CTLT
301,CLPR
302,CLR
303,SCLE
304,HLI
305,HLNE
306,CVEO
307,CVGI
308,LXU
309,CVGW
310,CVI
311,SDOW
312,LXP
313,CVII
314,ACM
315,CVLY
316,GGB
317,EFSC
318,SDIV
319,HMC
320,HOFT
321,GPRO
322,GSIE
323,GSIT
324,HOG
325,CLRG
326,CVBF
327,SUSA
328,SCOB
329,CVCO
330,ZI
331,XLI
332,EBAC
333,HSHCY
334,CLTL
335,LTH
336,EXPE
337,LSBK
338,DAKT
339,DALI
340,AAN
341,ZIM
342,HPE
343,HPLT
344,HRL
345,IYE
346,CMCL
347,KEP
348,CMCT
349,CRMT
350,CRTO
351,DIS
352,IDCC
353,FTAI
354,NI
355,SON
356,GDV
357,CUBA
358,CUTR
359,CWCO
360,TRNO
361,BR
362,CWST
363,IXAQ
364,LXFR
365,NOAH
366,SCL
367,XBI
368,SHC
369,FJTSY
370,FDMT
371,A
372,AACI
373,HTGC
374,HTH
375,ALLY
376,FCX
377,NJDCY
378,BCS
379,IXN
380,LRFC
381,OSH
382,OSIS
383,PARR
384,IXUS
385,BL
386,DEED
387,CCJ
388,BCSA
389,HTHT
390,HWKZ
391,HUYA
392,HWEL
393,GSK
394,HWM
395,HXL
396,HY
397,HYDW
398,PBA
399,HYEM
400,HYG
401,LQIG
402,FTCS
403,FSLY
404,SNP
405,IVLU
406,FERG
407,BCSF
408,HYLB
409,HYMB
410,ZLAB
411,NGVT
412,TCOM
413,SBFG
414,ASEA
415,SBAC
416,DHIL
417,BLI
418,BZ
419,ZM
420,SA
421,SASR
422,SARK
423,EDD
424,CWT
425,FLYA
426,FEXD
427,BCX
428,SAR
429,LQDA
430,HZO
431,HZON
432,IACC
433,IAPR
434,IAS
435,IBA
436,FFIC
437,GTLS
438,BNL
439,FRW
440,HYLN
441,SAP
442,QS
443,IYG
444,IBKR
445,IBM
446,ZT
447,ISD
448,LYV
449,NOVT
450,IYT
451,JAMF
452,ZTAQU
453,IWN
454,ZURVY
455,KMB
456,LYB
457,IDV
458,IEF
459,LZRFY
460,IEFA
461,IEP
462,IESC
463,IT
464,IWV
465,MFIN
466,NBTB
467,ALIZY
468,BITE
469,IZRL
470,HYS
471,JOFF
472,JPME
473,NVT
474,IWM
475,IAI
476,GDRX
477,XCCC
478,BCYC
479,EGAN
480,EQC
481,TPB
482,GDOT
483,CMI
484,SAND
485,CSTA
486,DVN
487,EZM
488,DT
489,IBOC
490,IBTX
491,LPRO
492,ICCC
493,CTS
494,CTSH
495,LPLA
496,S
497,FYBR
498,GATX
499,AGRO
500,DWIN
501,ICF
502,ICMB
503,ICSH
504,IHIT
505,BRFS
506,HNRG
507,EQD
508,HLIT
509,EFG
510,TDSA
511,INN
512,STRE
513,SWI
514,INT
515,INVA
516,TDOC
517,INVZ
518,TDG
519,IONQ
520,IQMD
521,RXST
522,TD
523,LOKM
524,DGNU
525,DGRS
526,IRIX
527,LEAP
528,IRL
529,OMGA
530,IRM
531,IROQ
532,IRRX
533,IVE
534,AKO.B
535,MBAC
536,BTWN
537,DGRW
538,MIT
539,IVH
540,IWF
541,ACNB
542,GOAC
543,MEI
544,EUSB
545,MITA
546,LVAC
547,AWK
548,ECL
549,FACA.U
550,DIVO
551,DMTK
552,PTIC
553,DSGX
554,MLAI
555,RVT
556,NVO
557,SWT
558,CDAY
559,CDXS
560,LVLU
561,FBIZ
562,GATE
563,ORGO
564,JHSC
565,JNPR
566,LBRT
567,LEN.B
568,GFS
569,GFX
570,PB
571,PBF
572,GGG
573,PLOW
574,RTX
575,LASR
576,PLCE
577,RTMVY
578,ACWV
579,AGM
580,GTHX
581,PBFX
582,PBH
583,PBI
584,GTIM
585,PBPB
586,PBTP
587,KRT
588,CMDY
589,LARK
590,MVF
591,LAND
592,GIB
593,GIC
594,GIFI
595,LANC
596,LAMR
597,SYIEY
598,MILN
599,MIN
600,MINT
601,NCNO
602,CME
603,MRC
604,CMG
605,DNAD
606,KTCC
607,GTPA
608,GTX
609,DPST
610,DRI
611,CNGL
612,TA
613,HRI
614,PAYC
615,PPYA
616,IVCP
617,IVCB
618,PICC
619,PLBC
620,CRMD
621,EQT
622,PRPH
623,DRIO
624,DRIV
625,HALO
626,DAL
627,JUN.U
628,PILL
629,JWSM
630,MKTX
631,MLAB
632,KIDS
633,PINC
634,PINE
635,PIPP
636,MTA
637,SYNL
638,TMAC
639,PATH
640,TLT
641,RSG
642,HMNF
643,CSTL
644,CTAQ
645,CWEN
646,EVBN
647,HNDL
648,HNNA
649,INTC
650,KCDMY
651,PIPR
652,PJT
653,PLAB
654,ABB
655,PL
656,LSEA
657,CVS
658,IPAY
659,HNRA
660,HNST
661,PLD
662,PPLT
663,PWV
664,PWZ
665,RPM
666,IXC
667,MLP
668,KIIIU
669,MNSB
670,MOH
671,MOMO
672,MON
673,KIM
674,KRC
675,RPG
676,TAC
677,ROLL
678,CIR
679,CIVI
680,CLDX
681,CNI
682,COHU
683,IDIV
684,KNSA
685,LEG
686,LEVI
687,COLB
688,NPK
689,KHOLY
690,KKR
691,CLFD
692,FRO
693,RMBI
694,IGSB
695,RMBS
696,IGTA
697,FVAM
698,IIPR
699,ILPT
700,EBKDY
701,IMGN
702,IMLP
703,IMNM
704,FINMU
705,GTY
706,RONI
707,ROSS
708,HAIN
709,ROST
710,CEIX
711,KRNL
712,IMTM
713,INTE
714,FUTY
715,NARI
716,SH
717,TCMD
718,TCN
719,FMS
720,FMTX
721,NGG
722,FMX
723,IPGP
724,IPWR
725,IQDF
726,SHOP
727,NS
728,NBN
729,NBST
730,KRON
731,NSANY
732,NSCS
733,EXTN
734,SKX
735,RITM
736,HEFA
737,IRBT
738,IRDM
739,IRS
740,IRTC
741,DEX
742,FREY
743,EGBN
744,MWA
745,MX
746,MXCT
747,FREE
748,NTB
749,LLY
750,ISVL
751,ITOT
752,ITW
753,IUSG
754,PLTM
755,MHK
756,SPB
757,SPDN
758,PLUG
759,NEA
760,NEAR
761,FVD
762,PNNT
763,PNOV
764,SMNNY
765,SPGS
766,SPLV
767,SPOK
768,SPOT
769,SPXS
770,FVIV
771,IVW
772,IWD
773,SRG
