,symbol
0,MBI
1,EL
2,GIW
3,ADI
4,GKOS
5,IMAX
6,BBD
7,BSAC
8,PRK
9,CANE
10,CULL
11,EBR
12,MOFG
13,EBTC
14,CVLG
15,CWEN.A
16,DBO
17,DFAC
18,HVT
19,DFIN
20,AEG
21,CSPI
22,CASS
23,SNX
24,CATY
25,ACCD
26,CBNK
27,AFYA
28,MAS
29,MODV
30,ATMP
31,SE
32,AUY
33,CNK
34,CLAS
35,CI
36,WDS
37,DSEY
38,WOOF
39,SCZ
40,CVCY
41,DVAX
42,LBRDK
43,POND
44,FMNB
45,MNDT
46,III
47,IIIIU
48,ATRA
49,AXAC
50,CFIV
51,EPC
52,EWT
53,CRI
54,AXGN
55,CIO
56,CMCO
57,IIVI
58,ECVT
59,ENSG
60,EFA
61,SOHU
62,SOI
63,UAA
64,ABR
65,AIKI
66,EWW
67,DESP
68,FORG
69,CMCSA
70,FOSL
71,NVRO
72,AZZ
73,BACA
74,UA
75,CRZN
76,ILCV
77,ILCB
78,HBM
79,EGP
80,MDY
81,XTN
82,INMB
83,BLX
84,BNDX
85,COWN
86,INDT
87,FHLC
88,CPF
89,DTE
90,CPSS
91,PAQCU
92,PAWZ
93,MLNK
94,CSV
95,WSBC
96,CRF
97,WSBF
98,CSBR
99,CSLM
100,MITK
101,ECH
102,ENR
103,EDIT
104,WSC
105,WSFS
106,PRIM
107,PONO
108,MANU
109,POLY
110,CHE
111,PODD
112,FGB
113,FGBI
114,ADT
115,MAG
116,GAIN
117,IQV
118,GAMC
119,LYTS
120,BSCP
121,SPIP
122,ABC
123,GBLI
124,HOMB
125,CNTA
126,MIDD
127,SCSC
128,CLLS
129,GBNY
130,IRRX.U
131,GCC
132,ITB
133,GCLN
134,COOK
135,REVG
136,GMED
137,MGTX
138,MGV
139,SQSP
140,ITCI
141,ITGR
142,MYOV
143,FNV
144,MCHP
145,FFBC
146,MERC
147,AERI
148,DOL
149,FLAC
150,EXPI
151,FLYW
152,IYF
153,ROAM
154,FNB
155,FOLD
156,FOXA
157,FOXF
158,FROG
159,GILT
160,GO
161,BWMN
162,GTES
163,IWR
164,IWS
165,GIS
166,GOGL
167,TTAI
168,FSFG
169,FSTX
170,FSV
171,JD
172,JEPI
173,MORT
174,GOLD
175,EWZS
176,FEI
177,AXR
178,GOLF
179,JATT
180,TTAC
181,AGGR
182,FSRX
183,JEF
184,MCFT
185,FYX
186,NLSN
187,CIM
188,CLSC
189,HST
190,GLO
191,GNE
192,GNL
193,KE
194,IHYF
195,IIII
196,IMCB
197,IMCR
198,IMCV
199,IMFL
200,PEBO
201,BNS
202,BBCA
203,GSY
204,FSK
205,MBNE
206,GT
207,BY
208,PFF
209,PFFD
210,PFIN
211,GOGN
212,IMMR
213,GPI
214,GOOS
215,PFTA
216,GPK
217,SHLX
218,SSO
219,GPMT
220,GPOR
221,GFLU
222,INVH
223,JHMD
224,PNM
225,FSNB
226,MAT
227,GPRE
228,DLCA
229,GRCL
230,GRFS
231,GRIN
232,GRN
233,SANG
234,GRP.U
235,CCEP
236,GRPN
237,MAPS
238,STGW
239,CSTR
240,KBWY
241,GHM
242,CSWC
243,CSWI
244,PNT
245,GRVY
246,DEI
247,STIM
248,FDS
249,STM
250,GHG
251,INOD
252,GLBE
253,TT
254,PCB
255,ZETA
256,ZEUS
257,ZEV
258,POR
259,GSBD
260,STON
261,STRS
262,STOR
263,STRT
264,GSEV
265,GSHD
266,GSG
267,EGGF
268,INSP
269,INST
270,INSW
271,GTPB
272,SAVE
273,CHCO
274,TSP
275,PRGS
276,PRI
277,GWW
278,FTXO
279,SUAC
280,SUI
281,GXII
282,GXO
283,SUMO
284,HASI
285,IPVF
286,KRUS
287,KURA
288,LGV
289,MOO
290,PFBC
291,GLRE
292,GLT
293,GPAC
294,CTBI
295,ABGI
296,PNW
297,HBAN
298,AVT
299,ARCE
300,CION
301,SNSR
302,GSM
303,GGAL
304,HCSG
305,HCVI
306,HESM
307,ANZUU
308,GDXJ
309,CENQ
310,CLOU
311,HFXI
312,NAVI
313,PNTM
314,LYEL
315,CTLT
316,CLPR
317,CLR
318,SCLE
319,HLI
320,HLNE
321,CVEO
322,CVGI
323,LXU
324,CVGW
325,CVI
326,SDOW
327,CVII
328,LXP
329,CVLY
330,ACM
331,GGB
332,EFSC
333,SDIV
334,HMC
335,HOFT
336,GPRO
337,GSIE
338,GSIT
339,CLRG
340,HOG
341,CVBF
342,SUSA
343,SCOB
344,CVCO
345,ZI
346,XLI
347,EBAC
348,CLTL
349,LTH
350,EXPE
351,LSBK
352,DAKT
353,DALI
354,AAN
355,ZIM
356,HPE
357,HPLT
358,HRL
359,IYE
360,CMCL
361,KEP
362,CMCT
363,CRMT
364,CRTO
365,DIS
366,IDCC
367,FTAI
368,NI
369,SON
370,GDV
371,CUBA
372,CUTR
373,CWCO
374,TRNO
375,BR
376,CWST
377,IXAQ
378,LXFR
379,NOAH
380,SCL
381,XBI
382,SHC
383,FDMT
384,A
385,AACI
386,HTGC
387,HTH
388,ALLY
389,FCX
390,BCS
391,IXN
392,LRFC
393,OSH
394,OSIS
395,PARR
396,IXUS
397,BL
398,DEED
399,CCJ
400,BCSA
401,HTHT
402,HWKZ
403,HUYA
404,HWEL
405,GSK
406,HWM
407,HXL
408,HY
